Coin,Price,24h Change,Market Cap,Timestamp
"Bitcoin
BTC","$103,132.18","$71,899,453,358
696.82K","$2,057,221,810,509",2025-11-12 00:42:44
"Ethereum
ETH","$3,460.92","$38,980,031,416
11.25M","$417,721,705,138",2025-11-12 00:42:44
"Tether
USDT",$0.9999,"$142,011,658,951
142.02B","$183,493,353,556",2025-11-12 00:42:44
"XRP
XRP",$2.41,"$4,761,825,371
1.96B","$145,275,542,937",2025-11-12 00:42:44
"BNB
BNB",$965.43,"$2,673,300,578
2.76M","$132,976,211,887",2025-11-12 00:42:44
"Solana
SOL",$158.06,"$5,961,657,065
37.61M","$87,550,608,469",2025-11-12 00:42:44
"USDC
USDC",$1.00,"$15,800,921,665
15.80B","$76,040,689,286",2025-11-12 00:42:44
"TRON
TRX",$0.2992,"$704,076,407
2.34B","$28,333,858,103",2025-11-12 00:42:44
"Dogecoin
DOGE",$0.1742,"$2,089,620,878
11.97B","$26,445,002,952",2025-11-12 00:42:44
"Cardano
ADA",$0.5653,"$829,876,252
1.46B","$20,281,125,045",2025-11-12 00:42:44
